Stations_id;Beginn;Ende;Anzahl_Jahre;Fehl_Jahre;Fehl_Werte;max(Fehl_Zeitraum)>=25;Stationsname;eor;
2928;01.12.1863;31.12.2012;149.18;30.39;11094;-;Leipzig-Holzhausen;eor;
5797;04.12.1863;31.12.2011;148.17;96.65;35277;01.01.1885-31.12.1947;Lichtentanne;eor;
3668;01.01.1879;25.04.2021;142.41;30.27;11048;-;Nürnberg;eor;
4024;01.01.1860;30.06.2000;140.59;109.97;40139;01.01.1865-31.12.1950;Putbus;eor;
1684;01.01.1880;31.12.2018;139.09;17.1;6241;-;Görlitz;eor;
3126;01.01.1881;31.05.2017;136.5;34.67;12654;-;Magdeburg;eor;
4104;01.01.1879;24.01.2014;135.15;33.08;12074;01.01.1916-31.12.1948;Regensburg;eor;
5440;01.01.1879;31.12.2013;135.09;23.19;8464;-;Weißenburg-Emetzheim;eor;
853;01.01.1882;31.07.2015;133.67;25.62;9352;-;Chemnitz;eor;
2444;01.01.1879;31.12.2011;133.08;.17;62;-;Jena(Sternwarte);eor;
320;01.01.1879;31.12.2011;133.08;24.1;8797;-;Heinersreuth-Vollhof;eor;
1443;01.01.1874;01.10.2002;128.83;27.82;10156;01.01.1922-30.04.1949;Freiburg;eor;
1358;01.08.1890;01.01.2019;128.5;20.25;7392;-;Fichtelberg;eor;
3987;01.01.1893;30.11.2020;128;24.15;8814;-;Potsdam;eor;
3988;01.01.1893;31.12.2019;127.08;1.01;367;-;Potsdam(Säkularstation);eor;
722;01.01.1896;31.12.2019;124.08;8.28;3022;-;Brocken;eor;
1757;01.03.1898;31.10.2020;122.75;32.16;11740;-;Greifswald;eor;
1580;01.07.1884;30.11.2006;122.5;37.94;13849;01.04.1890-31.12.1926;Geisenheim;eor;
863;01.01.1890;19.03.2011;121.29;17.01;6209;-;Clausthal-Zellerfeld;eor;
3;01.01.1891;31.03.2011;120.32;31.02;11323;-;Aachen;eor;
3946;01.01.1882;31.03.2001;119.32;22.29;8136;-;Plauen;eor;
186;01.01.1880;30.09.1998;118.82;5.64;2058;-;Arnsberg;eor;
5792;01.08.1900;31.05.2018;117.91;.29;106;-;Zugspitze;eor;
1960;01.01.1851;31.12.1966;116.07;52.76;19257;01.01.1900-31.12.1946;Halle(Stadt);eor;
445;01.01.1898;31.12.2011;114.07;51.76;18893;-;Bernburg/Saale(Nord);eor;
4625;01.01.1900;31.01.2013;113.16;4.4;1605;-;Schwerin;eor;
5349;01.07.1889;30.06.2000;111.07;28.21;10295;-;Waren(Müritz);eor;
3196;01.01.1902;30.04.2012;110.4;26.32;9605;-;Marnitz;eor;
1762;01.01.1897;31.12.2006;110.07;;;-;Greiz-Dölau;eor;
4445;01.12.1902;31.12.2011;109.16;44.36;16190;-;Wernigerode-Schierke;eor;
2629;01.10.1904;31.12.2011;107.32;13.45;4908;-;Kleve;eor;
3730;01.01.1910;31.12.2013;104.07;.34;123;-;Oberstdorf;eor;
3404;01.01.1891;31.12.1991;101.06;21.01;7670;-;Münster;eor;
231;01.01.1879;30.04.1974;95.39;34.19;12478;01.01.1901-31.12.1934;Augsburg(SanktStephan);eor;
2483;01.11.1926;31.05.2017;90.64;11.73;4281;-;KahlerAsten;eor;
1691;01.01.1927;31.12.2015;89.06;4.72;1724;-;Göttingen;eor;
1048;01.01.1934;25.04.2021;87.37;14.88;5433;-;Dresden-Klotzsche;eor;
2932;01.01.1934;25.04.2021;87.37;22.75;8303;-;Leipzig/Halle;eor;
691;01.01.1936;25.04.2021;85.37;.84;306;-;Bremen;eor;
2374;01.01.1891;30.06.1974;83.55;16.1;5875;-;Husum;eor;
3088;01.01.1890;30.06.1973;83.55;17.01;6209;-;Lübeck-Werft;eor;
2290;01.12.1936;01.01.2019;82.14;;;-;Hohenpeißenberg;eor;
4878;01.01.1930;31.12.2011;82.05;34.95;12757;-;OberharzamBrocken-Stiege;eor;
2201;14.04.1931;31.12.2011;80.77;12;4380;-;Hiddensee-Vitte;eor;
5761;01.11.1903;31.12.1980;77.22;23.77;8677;-;Zerbst;eor;
1051;01.01.1936;31.12.2011;76.05;38.93;14211;01.08.1977-28.02.2007;Dresden-Strehlen;eor;
3426;18.05.1936;31.12.2011;75.67;27.29;9960;-;Muskau,Bad;eor;
1975;01.01.1946;25.04.2021;75.36;;;-;Hamburg-Fuhlsbüttel;eor;
2014;01.01.1947;25.04.2021;74.36;;;-;Hannover;eor;
4466;01.01.1947;01.11.2019;72.88;;;-;Schleswig;eor;
2522;01.01.1936;31.10.2008;72.88;1.92;699;-;Karlsruhe;eor;
164;03.06.1946;08.10.2018;72.4;4.72;1722;-;Angermünde;eor;
1420;01.01.1949;25.04.2021;72.36;;;-;Frankfurt/Main;eor;
5063;01.01.1936;31.05.2007;71.46;5.92;2161;-;Tölz,Bad;eor;
403;01.01.1950;25.04.2021;71.36;.01;2;-;Berlin-Dahlem(FU);eor;
5371;01.01.1949;20.12.2019;71.01;.21;75;-;Wasserkuppe;eor;
1270;01.01.1951;25.04.2021;70.36;;;-;Erfurt-Weimar;eor;
4336;01.01.1951;25.04.2021;70.36;;;-;Saarbrücken-Ensheim;eor;
2261;01.01.1949;18.12.2018;70.01;2.12;773;-;Hof;eor;
4177;01.01.1949;27.07.2018;69.61;24.45;8924;-;Rheinstetten;eor;
656;01.01.1931;30.06.2000;69.54;9.52;3476;-;Braunlage;eor;
3015;01.01.1951;18.03.2020;69.26;;;-;Lindenberg;eor;
891;01.01.1948;31.12.2016;69.05;.09;34;-;Cuxhaven;eor;
2486;25.01.1943;31.12.2011;68.98;18.53;6762;-;Kaiserslautern;eor;
5629;01.01.1937;30.09.2005;68.79;6.7;2447;-;Wittenberg;eor;
4501;01.01.1936;09.09.2004;68.74;24.83;9064;-;Schmücke;eor;
5732;01.01.1935;30.06.2003;68.54;6.75;2462;-;Wrixum/Föhr;eor;
4887;01.01.1949;25.06.2017;68.53;.07;25;-;Stötten;eor;
880;01.06.1946;20.10.2014;68.43;3.14;1147;-;Cottbus;eor;
4931;01.01.1953;25.04.2021;68.36;;;-;Stuttgart-Echterdingen;eor;
3631;01.01.1947;20.03.2015;68.26;.04;13;-;Norderney;eor;
98;15.02.1887;31.12.1954;67.92;12.64;4615;-;Altastenberg;eor;
4393;01.01.1951;09.04.2018;67.32;.78;285;-;SanktPeter-Ording;eor;
5516;01.01.1948;15.02.2015;67.17;9.34;3409;-;Fehmarn;eor;
4032;01.01.1945;31.12.2011;67.04;8.84;3225;-;Quedlinburg;eor;
2080;01.01.1945;31.12.2011;67.04;3.17;1157;-;Heidelberg;eor;
5335;01.01.1945;31.12.2011;67.04;28.94;10562;-;Waltershausen;eor;
2578;01.03.1945;31.12.2011;66.88;13.25;4835;-;Kirchdorf/Poel;eor;
5705;01.01.1949;31.10.2015;66.87;;;-;Würzburg;eor;
2812;01.01.1950;29.07.2016;66.62;3.34;1218;-;Lahr;eor;
314;06.06.1945;31.12.2011;66.61;3.58;1308;-;Kubschütz,Kr.Bautzen;eor;
183;01.01.1951;30.06.2017;66.54;.35;127;-;Arkona;eor;
4271;01.01.1951;22.11.2016;65.94;.14;52;-;Rostock-Warnemünde;eor;
2601;01.01.1936;30.04.2001;65.37;3.17;1158;-;KleinerFeldberg/Taunus;eor;
1550;01.01.1936;04.04.2001;65.3;.92;336;-;Garmisch-Partenkirchen;eor;
