date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,4.2,3,5.6,2.4,0,,,,,
2019-01-02,1.7,-5.5,4.1,0.2,0,,,,,
2019-01-03,-2.4,-7.2,1.5,0.4,10,,,,,
2019-01-04,-0.4,-4.1,3.5,0,20,,,,,
2019-01-05,1,0.1,2.4,3.9,0,,,,,
2019-01-06,2.9,1.8,4.1,0.2,0,,,,,
2019-01-07,2.7,1.6,4.4,1.7,0,,,,,
2019-01-08,2.6,0.8,4.8,8.2,0,,,,,
2019-01-09,1.4,-0.8,3.2,1.4,0,,,,,
2019-01-10,-0.4,-3.3,1.4,0.7,0,,,,,
2019-01-11,-1.1,-3.4,0.6,0.8,0,,,,,
2019-01-12,1.5,-0.1,3.2,8.7,10,,,,,
2019-01-13,4,0.9,7.6,15.3,0,,,,,
2019-01-14,3.8,-1.8,7,4.5,0,,,,,
2019-01-15,0.7,-2.9,5.9,0,0,,,,,
2019-01-16,-0.8,-3.6,5.4,0,0,,,,,
2019-01-17,1.4,-4.9,6.2,3.2,0,,,,,
2019-01-18,-0.7,-4.4,2.9,0,0,,,,,
2019-01-19,-3.6,-6.7,0.8,0,0,,,,,
2019-01-20,-2.6,-6.7,1.5,0,0,,,,,
2019-01-21,-0.4,-1.3,1.3,0,0,,,,,
2019-01-22,-0.9,-1.8,-0.3,0,0,,,,,
2019-01-23,-1.2,-2.4,1,0.1,0,,,,,
2019-01-24,-1.1,-2.2,0.3,0.3,0,,,,,
2019-01-25,-2.1,-5.4,1.8,0,0,,,,,
2019-01-26,0.3,-2.5,1.9,0.8,0,,,,,
2019-01-27,2.2,-2.8,7.4,13.1,20,,,,,
2019-01-28,1.1,0.7,2.9,1.7,30,,,,,
2019-01-29,-1.1,-4.5,3.7,0,20,,,,,
2019-01-30,-0.5,-5.3,3.7,1.8,0,,,,,
2019-01-31,-2.1,-7.2,2.6,1.6,40,,,,,
2019-02-01,1.2,-1.3,3,6.8,30,,,,,
2019-02-02,1.6,0.9,2.6,0.2,10,,,,,
2019-02-03,1.6,-0.7,2.7,4.3,0,,,,,
2019-02-04,-1.6,-6.9,3.9,0,10,,,,,
2019-02-05,-1.8,-5.7,0,0,0,,,,,
2019-02-06,-2.7,-4.3,-1.1,0,0,,,,,
2019-02-07,-0.6,-3.1,1.3,3.4,0,,,,,
2019-02-08,2.2,-3.3,7.6,1.1,0,,,,,
2019-02-09,3.8,-3.9,11.8,0.1,0,,,,,
2019-02-10,4.5,-0.2,12.3,11.8,0,,,,,
2019-02-11,2.8,0.3,6.3,2.5,0,,,,,
2019-02-12,1.4,-3.2,6.6,0,0,,,,,
2019-02-13,0.9,-4.5,10.1,0,0,,,,,
2019-02-14,1.4,-4.7,11.3,0,0,,,,,
2019-02-15,2,-4.7,12.6,0,0,,,,,
2019-02-16,2,-4.9,13.8,0,0,,,,,
2019-02-17,2.5,-4,14.6,0,0,,,,,
2019-02-18,2.1,-5,14.4,0,0,,,,,
2019-02-19,3.3,-3.6,13.7,0,0,,,,,
2019-02-20,3.6,-2.5,13.4,0,0,,,,,
2019-02-21,4.6,-3.3,15.8,0.1,0,,,,,
2019-02-22,6.4,1.9,13.8,0,0,,,,,
2019-02-23,5.9,0.9,11.5,0,0,,,,,
2019-02-24,3.1,-4.5,12.7,0,0,,,,,
2019-02-25,5.8,-2.9,16.6,0,0,,,,,
2019-02-26,5.7,-3.1,18.5,0,0,,,,,
2019-02-27,5.9,-2.6,19.7,0,0,,,,,
2019-02-28,7.9,-3.6,19.1,4.6,0,,,,,
